Locality	Sample	probability	type
Oslo_Brann_4	COD420	0.000136391591354571	Lofoten.Skrei
Oslo_Brann_4	COD421	0.0354648005552664	Lofoten.Skrei
Oslo_Brann_4	COD422	NA	Lofoten.Skrei
Oslo_Brann_4	COD423	NA	Lofoten.Skrei
Oslo_Brann_4	COD427	NA	Lofoten.Skrei
Oslo_Brann_5	COD408	0.0354648005552664	Lofoten.Skrei
Oslo_Brann_5	COD410	NA	Lofoten.Skrei
Oslo_Brann_5	COD412	NA	Lofoten.Skrei
Oslo_Brann_5	COD413	0.999939933644774	Lofoten.Skrei
Oslo_Brann_5	COD415	0.00114934559369704	Lofoten.Skrei
Oslo_Brann_6	COD411	0	Lofoten.Skrei
Oslo_Brann_6	COD414	0	Lofoten.Skrei
Oslo_Brann_7	COD409	0	Lofoten.Skrei
Oslo_Brann_7	COD416	NA	Lofoten.Skrei
Oslo_Brann_7	COD417	NA	Lofoten.Skrei
Oslo_Brann_7	COD418	NA	Lofoten.Skrei
Oslo_Brann_8	COD406	NA	Lofoten.Skrei
Oslo_Brann_8	COD407	NA	Lofoten.Skrei
Oslo_Mindets_tomt	COD082	0.559633654395631	Lofoten.Coastal
Oslo_Mindets_tomt	COD086	0.0553345210666774	Lofoten.Coastal
Oslo_Mindets_tomt	COD092	0.0000600663552258079	Lofoten.Coastal
Oslo_Mindets_tomt	COD084	0.482226983722033	Lofoten.Coastal
Oslo_Mindets_tomt	COD089	0.485834885929817	Lofoten.Coastal
Oslo_Mindets_tomt	COD091	0.183519082094917	Lofoten.Coastal
Oslo_Brann_1	COD332	0.00516011065934462	Lofoten.Coastal
Oslo_Brann_1	COD333	0.0000600663552258079	Lofoten.Coastal
Oslo_Brann_1	COD334	0.0553345210666774	Lofoten.Coastal
Oslo_Brann_1	COD335	1	Lofoten.Coastal
Oslo_Brann_1	COD336	0.0000600663552258079	Lofoten.Coastal
Oslo_Brann_1	COD338	0.00774858579874108	Lofoten.Coastal
Oslo_Brann_1	COD339	0.482226983722033	Lofoten.Coastal
Oslo_Brann_1	COD341	0.00774858579874108	Lofoten.Coastal
Oslo_Brann_1	COD342	1	Lofoten.Coastal
Oslo_Brann_2	COD343	0.230126609070678	Lofoten.Coastal
Oslo_Brann_2	COD348	0.0126231790099028	Lofoten.Coastal
Oslo_Brann_2	COD356	0.482226983722033	Lofoten.Coastal
Oslo_Brann_2	COD358	0.0000600663552258079	Lofoten.Coastal
Oslo_Brann_2	COD365	0.00774858579874108	Lofoten.Coastal
Oslo_Brann_2	COD367	0.143249157665864	Lofoten.Coastal
Oslo_Brann_3	COD372	0.485834885929817	Lofoten.Coastal
Oslo_Brann_3	COD377	0.143249157665864	Lofoten.Coastal
Oslo_Brann_3	COD379	0.964535199444734	Lofoten.Coastal
Oslo_Brann_3	COD383	0.0553345210666774	Lofoten.Coastal
Oslo_Brann_3	COD389	0.0553345210666774	Lofoten.Coastal
Oslo_Brann_3	COD391	0.0000600663552258079	Lofoten.Coastal
Oslo_Brann_3	COD394	0.712019059926366	Lofoten.Coastal
Oslo_Brann_3	COD395	0.0000600663552258079	Lofoten.Coastal
Oslo_Brann_4	COD396	NA	Lofoten.Coastal
Oslo_Brann_4	COD398	0.482226983722033	Lofoten.Coastal
Oslo_Brann_4	COD405	0.482226983722033	Lofoten.Coastal
Oslo_Brann_4	COD420	0.482226983722033	Lofoten.Coastal
Oslo_Brann_4	COD421	0.964535199444734	Lofoten.Coastal
Oslo_Brann_4	COD422	NA	Lofoten.Coastal
Oslo_Brann_4	COD423	NA	Lofoten.Coastal
Oslo_Brann_4	COD427	NA	Lofoten.Coastal
Oslo_Brann_5	COD408	0.964535199444734	Lofoten.Coastal
Oslo_Brann_5	COD410	NA	Lofoten.Coastal
Oslo_Brann_5	COD412	NA	Lofoten.Coastal
Oslo_Brann_5	COD413	0.0000600663552258079	Lofoten.Coastal
Oslo_Brann_5	COD415	0.966637515058829	Lofoten.Coastal
Oslo_Brann_6	COD411	0.0553345210666774	Lofoten.Coastal
Oslo_Brann_6	COD414	0.0553345210666774	Lofoten.Coastal
Oslo_Brann_7	COD409	0.143249157665864	Lofoten.Coastal
Oslo_Brann_7	COD416	NA	Lofoten.Coastal
Oslo_Brann_7	COD417	NA	Lofoten.Coastal
Oslo_Brann_7	COD418	NA	Lofoten.Coastal
Oslo_Brann_8	COD406	NA	Lofoten.Coastal
